week,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,wuhan bsl-4 lab
2020-02-12 2020-02-19,New York,7,100,0,23,16,0,0,0
2020-02-12 2020-02-19,North Carolina,7,0,0,0,0,0,0,0
2020-02-12 2020-02-19,North Dakota,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Ohio,7,0,53,45,0,0,0,0
2020-02-12 2020-02-19,Oklahoma,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Oregon,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Pennsylvania,6,0,51,0,0,0,0,0
2020-02-12 2020-02-19,Rhode Island,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,South Carolina,18,0,0,0,83,0,0,0
2020-02-12 2020-02-19,South Dakota,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Tennessee,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Texas,3,0,0,19,0,70,100,0
2020-02-12 2020-02-19,Utah,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Vermont,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Virginia,13,0,71,61,0,0,0,0
2020-02-12 2020-02-19,Washington,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,West Virginia,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Wisconsin,14,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Wyoming,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Alabama,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Alaska,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Arizona,16,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Arkansas,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,California,8,31,18,17,21,50,55,0
2020-02-19 2020-02-26,Colorado,0,0,0,0,98,0,0,0
2020-02-19 2020-02-26,Connecticut,0,0,0,94,0,0,0,0
2020-02-19 2020-02-26,Delaware,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,District of Columbia,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Florida,5,55,0,16,0,0,100,0
2020-02-19 2020-02-26,Georgia,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Hawaii,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Idaho,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Illinois,0,0,54,0,0,100,0,0
2020-02-19 2020-02-26,Indiana,19,0,0,62,100,0,0,0
2020-02-19 2020-02-26,Iowa,42,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Kansas,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Kentucky,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Louisiana,31,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Maine,100,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Maryland,0,0,0,54,0,0,0,0
2020-02-19 2020-02-26,Massachusetts,15,0,0,47,0,0,0,0
2020-02-19 2020-02-26,Michigan,12,0,0,40,0,0,0,0
2020-02-19 2020-02-26,Minnesota,0,0,0,100,0,0,0,0
