,week,State,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
263,2020-02-05 2020-02-12,District of Columbia,52,0,0,0,0,0,0,0
264,2020-02-05 2020-02-12,Florida,12,0,0,0,0,0,0,0
265,2020-02-05 2020-02-12,Georgia,6,100,0,0,0,0,0,0
266,2020-02-05 2020-02-12,Hawaii,55,0,0,0,0,0,0,0
267,2020-02-05 2020-02-12,Idaho,0,0,0,0,0,0,0,0
268,2020-02-05 2020-02-12,Illinois,7,39,0,0,0,0,0,0
269,2020-02-05 2020-02-12,Indiana,11,91,0,0,0,0,0,0
270,2020-02-05 2020-02-12,Iowa,25,0,0,0,0,0,0,0
271,2020-02-05 2020-02-12,Kansas,0,0,0,0,0,100,0,0
272,2020-02-05 2020-02-12,Kentucky,0,0,0,0,0,0,0,0
273,2020-02-05 2020-02-12,Louisiana,18,0,0,0,0,0,0,0
274,2020-02-05 2020-02-12,Maine,0,0,0,0,0,0,0,0
275,2020-02-05 2020-02-12,Maryland,20,0,0,0,0,0,0,0
276,2020-02-05 2020-02-12,Massachusetts,8,0,0,0,0,0,0,0
277,2020-02-05 2020-02-12,Michigan,14,0,0,0,0,0,0,0
278,2020-02-05 2020-02-12,Minnesota,12,0,0,0,0,0,0,0
279,2020-02-05 2020-02-12,Mississippi,0,0,0,0,0,0,0,0
280,2020-02-05 2020-02-12,Missouri,46,0,0,0,0,0,0,0
281,2020-02-05 2020-02-12,Montana,0,0,0,0,0,0,0,0
282,2020-02-05 2020-02-12,Nebraska,35,0,0,0,0,0,0,0
283,2020-02-05 2020-02-12,Nevada,0,0,0,0,0,0,0,0
284,2020-02-05 2020-02-12,New Hampshire,52,0,0,0,0,0,0,0
285,2020-02-05 2020-02-12,New Jersey,17,0,100,0,0,0,0,0
286,2020-02-05 2020-02-12,New Mexico,0,0,0,0,0,0,0,0
287,2020-02-05 2020-02-12,New York,20,0,0,0,0,0,0,0
288,2020-02-05 2020-02-12,North Carolina,9,50,0,0,0,0,0,0
289,2020-02-05 2020-02-12,North Dakota,0,0,0,0,0,0,0,0
290,2020-02-05 2020-02-12,Ohio,8,0,0,0,0,0,0,0
291,2020-02-05 2020-02-12,Oklahoma,21,0,0,0,0,0,0,0
292,2020-02-05 2020-02-12,Oregon,17,0,0,0,0,0,0,0
293,2020-02-05 2020-02-12,Pennsylvania,5,0,76,0,0,0,0,0
294,2020-02-05 2020-02-12,Rhode Island,0,0,0,0,0,0,0,0
295,2020-02-05 2020-02-12,South Carolina,29,0,0,0,0,0,0,0
296,2020-02-05 2020-02-12,South Dakota,100,0,0,0,0,0,0,0
297,2020-02-05 2020-02-12,Tennessee,10,85,0,0,0,0,0,0
298,2020-02-05 2020-02-12,Texas,6,18,0,0,0,0,0,0
299,2020-02-05 2020-02-12,Utah,0,0,0,0,0,0,0,0
300,2020-02-05 2020-02-12,Vermont,0,0,0,0,0,0,0,0
301,2020-02-05 2020-02-12,Virginia,18,58,0,0,0,0,0,0
302,2020-02-05 2020-02-12,Washington,9,0,0,0,0,0,0,0
303,2020-02-05 2020-02-12,West Virginia,0,0,0,0,0,0,0,0
304,2020-02-05 2020-02-12,Wisconsin,36,0,0,0,0,0,0,0
305,2020-02-05 2020-02-12,Wyoming,0,0,0,0,0,0,0,0
306,2020-02-12 2020-02-19,Alabama,0,0,0,0,0,0,0,0
307,2020-02-12 2020-02-19,Alaska,100,0,0,0,0,0,0,0
308,2020-02-12 2020-02-19,Arizona,7,55,0,0,0,0,0,0
309,2020-02-12 2020-02-19,Arkansas,22,0,0,0,0,0,0,0
310,2020-02-12 2020-02-19,California,11,23,8,0,0,0,0,0
311,2020-02-12 2020-02-19,Colorado,17,0,0,0,0,0,0,0
312,2020-02-12 2020-02-19,Connecticut,13,0,0,0,0,0,0,0
