,geoName,week,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon
223,Maine,2020-01-29 2020-02-05,0,0,0,0,0
224,Maryland,2020-01-29 2020-02-05,57,87,0,20,0
225,Massachusetts,2020-01-29 2020-02-05,0,73,0,24,0
226,Michigan,2020-01-29 2020-02-05,0,0,0,14,0
227,Minnesota,2020-01-29 2020-02-05,0,0,0,23,0
228,Mississippi,2020-01-29 2020-02-05,0,0,0,61,0
229,Missouri,2020-01-29 2020-02-05,0,100,0,22,0
230,Montana,2020-01-29 2020-02-05,0,0,0,0,0
231,Nebraska,2020-01-29 2020-02-05,0,0,0,0,0
232,Nevada,2020-01-29 2020-02-05,0,0,0,44,0
233,New Hampshire,2020-01-29 2020-02-05,0,0,0,0,0
234,New Jersey,2020-01-29 2020-02-05,38,0,0,19,0
235,New Mexico,2020-01-29 2020-02-05,0,0,0,0,0
236,New York,2020-01-29 2020-02-05,16,25,0,16,0
237,North Carolina,2020-01-29 2020-02-05,35,53,0,35,0
238,North Dakota,2020-01-29 2020-02-05,0,0,0,0,0
239,Ohio,2020-01-29 2020-02-05,0,0,0,10,0
240,Oklahoma,2020-01-29 2020-02-05,0,0,0,41,0
241,Oregon,2020-01-29 2020-02-05,0,0,0,61,0
242,Pennsylvania,2020-01-29 2020-02-05,0,0,0,20,0
243,Rhode Island,2020-01-29 2020-02-05,0,0,0,0,0
244,South Carolina,2020-01-29 2020-02-05,0,0,0,0,0
245,South Dakota,2020-01-29 2020-02-05,0,0,0,0,0
246,Tennessee,2020-01-29 2020-02-05,0,0,0,40,0
247,Texas,2020-01-29 2020-02-05,19,29,0,25,0
248,Utah,2020-01-29 2020-02-05,0,0,0,41,0
249,Vermont,2020-01-29 2020-02-05,0,0,0,0,0
250,Virginia,2020-01-29 2020-02-05,40,61,0,0,0
251,Washington,2020-01-29 2020-02-05,48,0,0,33,0
252,West Virginia,2020-01-29 2020-02-05,0,0,0,0,0
253,Wisconsin,2020-01-29 2020-02-05,68,0,0,23,0
254,Wyoming,2020-01-29 2020-02-05,0,0,0,0,0
255,Alabama,2020-02-05 2020-02-12,0,0,0,0,0
256,Alaska,2020-02-05 2020-02-12,0,0,0,0,0
257,Arizona,2020-02-05 2020-02-12,0,0,0,0,0
258,Arkansas,2020-02-05 2020-02-12,0,0,0,0,0
259,California,2020-02-05 2020-02-12,15,13,0,8,0
260,Colorado,2020-02-05 2020-02-12,0,0,0,18,0
261,Connecticut,2020-02-05 2020-02-12,0,0,0,0,0
262,Delaware,2020-02-05 2020-02-12,0,0,0,0,0
263,District of Columbia,2020-02-05 2020-02-12,0,0,0,0,0
264,Florida,2020-02-05 2020-02-12,0,49,0,5,0
265,Georgia,2020-02-05 2020-02-12,58,0,0,10,0
266,Hawaii,2020-02-05 2020-02-12,0,0,0,0,0
267,Idaho,2020-02-05 2020-02-12,0,0,0,0,0
268,Illinois,2020-02-05 2020-02-12,45,0,0,4,0
269,Indiana,2020-02-05 2020-02-12,0,94,0,0,0
270,Iowa,2020-02-05 2020-02-12,0,0,0,0,0
271,Kansas,2020-02-05 2020-02-12,0,0,0,23,0
272,Kentucky,2020-02-05 2020-02-12,0,0,0,0,0
273,Louisiana,2020-02-05 2020-02-12,0,0,0,0,0
274,Maine,2020-02-05 2020-02-12,0,0,0,0,0
275,Maryland,2020-02-05 2020-02-12,0,0,0,13,0
276,Massachusetts,2020-02-05 2020-02-12,81,0,0,7,0
277,Michigan,2020-02-05 2020-02-12,0,60,0,6,0
278,Minnesota,2020-02-05 2020-02-12,0,0,0,15,0
279,Mississippi,2020-02-05 2020-02-12,0,0,0,27,0
280,Missouri,2020-02-05 2020-02-12,0,0,0,10,0
281,Montana,2020-02-05 2020-02-12,0,0,0,0,0
282,Nebraska,2020-02-05 2020-02-12,0,0,0,0,0
283,Nevada,2020-02-05 2020-02-12,0,0,0,0,0
284,New Hampshire,2020-02-05 2020-02-12,0,0,0,0,0
285,New Jersey,2020-02-05 2020-02-12,0,57,0,12,0
286,New Mexico,2020-02-05 2020-02-12,0,0,0,0,0
287,New York,2020-02-05 2020-02-12,40,0,0,6,0
288,North Carolina,2020-02-05 2020-02-12,0,0,0,10,0
289,North Dakota,2020-02-05 2020-02-12,0,0,0,0,0
290,Ohio,2020-02-05 2020-02-12,0,0,0,9,0
291,Oklahoma,2020-02-05 2020-02-12,0,0,0,18,0
292,Oregon,2020-02-05 2020-02-12,0,0,0,14,0
293,Pennsylvania,2020-02-05 2020-02-12,0,43,0,4,0
294,Rhode Island,2020-02-05 2020-02-12,0,0,0,0,0
295,South Carolina,2020-02-05 2020-02-12,0,0,0,12,0
296,South Dakota,2020-02-05 2020-02-12,0,0,0,0,0
297,Tennessee,2020-02-05 2020-02-12,100,0,0,9,0
298,Texas,2020-02-05 2020-02-12,0,0,0,6,0
299,Utah,2020-02-05 2020-02-12,0,0,0,0,0
300,Vermont,2020-02-05 2020-02-12,0,0,0,100,0
301,Virginia,2020-02-05 2020-02-12,0,0,0,12,0
302,Washington,2020-02-05 2020-02-12,0,0,0,22,0
303,West Virginia,2020-02-05 2020-02-12,0,0,0,0,0
304,Wisconsin,2020-02-05 2020-02-12,0,100,0,0,0
305,Wyoming,2020-02-05 2020-02-12,0,0,0,0,0
306,Alabama,2020-02-12 2020-02-19,0,0,0,0,0
307,Alaska,2020-02-12 2020-02-19,0,0,0,0,0
308,Arizona,2020-02-12 2020-02-19,40,82,0,17,0
309,Arkansas,2020-02-12 2020-02-19,0,0,0,0,0
310,California,2020-02-12 2020-02-19,7,14,0,16,16
311,Colorado,2020-02-12 2020-02-19,0,0,0,20,0
312,Connecticut,2020-02-12 2020-02-19,0,0,0,0,0
313,Delaware,2020-02-12 2020-02-19,0,0,0,0,0
314,District of Columbia,2020-02-12 2020-02-19,0,0,0,100,0
315,Florida,2020-02-12 2020-02-19,0,0,0,5,0
316,Georgia,2020-02-12 2020-02-19,0,0,0,22,0
317,Hawaii,2020-02-12 2020-02-19,0,0,0,95,0
318,Idaho,2020-02-12 2020-02-19,0,0,0,0,0
319,Illinois,2020-02-12 2020-02-19,19,40,0,8,0
320,Indiana,2020-02-12 2020-02-19,0,0,0,20,0
321,Iowa,2020-02-12 2020-02-19,100,0,0,0,0
322,Kansas,2020-02-12 2020-02-19,0,0,0,0,0
323,Kentucky,2020-02-12 2020-02-19,0,0,0,0,0
324,Louisiana,2020-02-12 2020-02-19,0,0,0,0,0
325,Maine,2020-02-12 2020-02-19,0,0,0,0,0
326,Maryland,2020-02-12 2020-02-19,0,0,0,0,0
327,Massachusetts,2020-02-12 2020-02-19,0,0,0,16,0
328,Michigan,2020-02-12 2020-02-19,59,61,0,0,0
329,Minnesota,2020-02-12 2020-02-19,0,0,0,21,0
330,Mississippi,2020-02-12 2020-02-19,0,0,0,0,0
331,Missouri,2020-02-12 2020-02-19,47,0,0,21,0
332,Montana,2020-02-12 2020-02-19,0,0,0,0,0
333,Nebraska,2020-02-12 2020-02-19,0,0,0,62,0
334,Nevada,2020-02-12 2020-02-19,92,0,0,0,0
335,New Hampshire,2020-02-12 2020-02-19,0,0,0,90,0
336,New Jersey,2020-02-12 2020-02-19,0,0,0,0,0
337,New Mexico,2020-02-12 2020-02-19,0,0,0,0,0
338,New York,2020-02-12 2020-02-19,11,23,0,20,0
339,North Carolina,2020-02-12 2020-02-19,0,50,0,11,0
340,North Dakota,2020-02-12 2020-02-19,0,0,0,0,0
341,Ohio,2020-02-12 2020-02-19,22,0,0,19,0
342,Oklahoma,2020-02-12 2020-02-19,0,0,0,0,0
343,Oregon,2020-02-12 2020-02-19,0,0,0,0,0
344,Pennsylvania,2020-02-12 2020-02-19,0,0,0,0,0
345,Rhode Island,2020-02-12 2020-02-19,0,0,0,0,0
346,South Carolina,2020-02-12 2020-02-19,0,0,0,26,0
347,South Dakota,2020-02-12 2020-02-19,0,0,0,0,0
348,Tennessee,2020-02-12 2020-02-19,0,0,0,18,100
349,Texas,2020-02-12 2020-02-19,9,0,0,8,0
350,Utah,2020-02-12 2020-02-19,89,0,0,58,0
351,Vermont,2020-02-12 2020-02-19,0,0,0,0,0
352,Virginia,2020-02-12 2020-02-19,0,0,0,13,0
353,Washington,2020-02-12 2020-02-19,0,0,0,16,86
354,West Virginia,2020-02-12 2020-02-19,0,0,0,0,0
355,Wisconsin,2020-02-12 2020-02-19,0,100,0,21,0
356,Wyoming,2020-02-12 2020-02-19,0,0,0,0,0
357,Alabama,2020-02-19 2020-02-26,0,0,0,0,0
358,Alaska,2020-02-19 2020-02-26,0,0,0,0,0
359,Arizona,2020-02-19 2020-02-26,0,0,0,12,0
360,Arkansas,2020-02-19 2020-02-26,0,0,0,0,0
361,California,2020-02-19 2020-02-26,10,13,0,8,0
362,Colorado,2020-02-19 2020-02-26,0,0,0,27,65
363,Connecticut,2020-02-19 2020-02-26,0,0,0,42,0
364,Delaware,2020-02-19 2020-02-26,0,0,0,0,0
365,District of Columbia,2020-02-19 2020-02-26,0,0,0,65,0
366,Florida,2020-02-19 2020-02-26,17,24,0,5,17
367,Georgia,2020-02-19 2020-02-26,37,0,0,15,0
368,Hawaii,2020-02-19 2020-02-26,0,0,0,64,0
369,Idaho,2020-02-19 2020-02-26,0,0,0,58,0
370,Illinois,2020-02-19 2020-02-26,56,39,0,11,0
