week,State,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
2020-01-29 2020-02-05,Texas,7,8,0,0,0,47,0,0
2020-01-29 2020-02-05,Utah,14,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Vermont,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Virginia,14,13,0,0,0,0,0,0
2020-01-29 2020-02-05,Washington,8,0,0,0,0,0,0,0
2020-01-29 2020-02-05,West Virginia,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Wisconsin,8,22,0,0,0,0,0,0
2020-01-29 2020-02-05,Wyoming,100,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Alabama,43,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Alaska,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Arizona,17,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Arkansas,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,California,22,9,22,9,0,0,0,0
2020-02-05 2020-02-12,Colorado,37,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Connecticut,29,48,0,100,0,0,0,0
2020-02-05 2020-02-12,Delaware,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,District of Columbia,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Florida,15,0,0,0,0,0,0,100
2020-02-05 2020-02-12,Georgia,10,34,86,0,0,0,0,0
2020-02-05 2020-02-12,Hawaii,94,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Idaho,81,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Illinois,12,13,0,0,0,0,0,0
2020-02-05 2020-02-12,Indiana,57,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Iowa,42,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Kansas,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Kentucky,30,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Louisiana,31,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Maine,100,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Maryland,17,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Massachusetts,43,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Michigan,19,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Minnesota,31,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Mississippi,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Missouri,39,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Montana,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Nebraska,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Nevada,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,New Hampshire,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,New Jersey,12,0,96,0,0,0,0,0
2020-02-05 2020-02-12,New Mexico,62,100,0,0,0,0,0,0
2020-02-05 2020-02-12,New York,29,8,0,0,0,0,0,0
2020-02-05 2020-02-12,North Carolina,0,17,0,0,0,100,0,0
2020-02-05 2020-02-12,North Dakota,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Ohio,32,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Oklahoma,37,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Oregon,28,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Pennsylvania,9,14,0,0,0,0,0,0
2020-02-05 2020-02-12,Rhode Island,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,South Carolina,51,0,0,0,0,0,0,0
2020-02-05 2020-02-12,South Dakota,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Tennessee,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Texas,19,6,31,0,0,0,0,0
2020-02-05 2020-02-12,Utah,37,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Vermont,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Virginia,43,40,100,0,0,0,0,0
2020-02-05 2020-02-12,Washington,15,24,0,0,0,0,0,0
2020-02-05 2020-02-12,West Virginia,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Wisconsin,21,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Wyoming,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Alabama,0,0,0,0,0,95,0,0
2020-02-12 2020-02-19,Alaska,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Arizona,12,0,0,0,0,69,0,0
2020-02-12 2020-02-19,Arkansas,35,0,0,0,0,0,0,0
2020-02-12 2020-02-19,California,21,9,8,0,0,12,0,0
2020-02-12 2020-02-19,Colorado,14,0,0,0,0,78,0,0
2020-02-12 2020-02-19,Connecticut,32,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Delaware,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,District of Columbia,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Florida,11,17,0,0,0,21,0,0
2020-02-12 2020-02-19,Georgia,19,35,0,0,0,0,0,100
2020-02-12 2020-02-19,Hawaii,65,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Idaho,58,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Illinois,17,27,0,0,0,0,0,0
2020-02-12 2020-02-19,Indiana,27,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Iowa,29,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Kansas,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Kentucky,21,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Louisiana,22,100,82,0,0,0,0,0
2020-02-12 2020-02-19,Maine,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Maryland,37,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Massachusetts,21,50,41,0,0,0,0,0
2020-02-12 2020-02-19,Michigan,18,0,0,0,0,53,0,0
2020-02-12 2020-02-19,Minnesota,44,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Mississippi,39,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Missouri,28,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Montana,100,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Nebraska,42,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Nevada,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,New Hampshire,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,New Jersey,21,0,0,0,0,100,0,0
2020-02-12 2020-02-19,New Mexico,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,New York,10,31,0,100,100,0,0,0
2020-02-12 2020-02-19,North Carolina,7,34,0,0,0,0,0,0
2020-02-12 2020-02-19,North Dakota,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Ohio,20,31,0,0,0,0,0,0
2020-02-12 2020-02-19,Oklahoma,26,0,100,0,0,0,0,0
2020-02-12 2020-02-19,Oregon,20,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Pennsylvania,19,59,24,0,0,38,0,0
2020-02-12 2020-02-19,Rhode Island,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,South Carolina,36,0,0,0,0,0,0,0
2020-02-12 2020-02-19,South Dakota,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Tennessee,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Texas,7,19,10,0,0,0,0,0
2020-02-12 2020-02-19,Utah,27,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Vermont,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Virginia,18,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Washington,22,50,0,0,0,0,0,0
2020-02-12 2020-02-19,West Virginia,0,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Wisconsin,15,0,0,0,0,0,0,0
2020-02-12 2020-02-19,Wyoming,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Alabama,11,0,31,0,0,0,0,0
2020-02-19 2020-02-26,Alaska,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Arizona,10,8,0,0,0,0,0,0
2020-02-19 2020-02-26,Arkansas,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,California,9,4,3,0,0,5,0,0
2020-02-19 2020-02-26,Colorado,15,9,0,0,0,0,0,0
2020-02-19 2020-02-26,Connecticut,12,14,0,0,0,0,0,0
2020-02-19 2020-02-26,Delaware,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,District of Columbia,36,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Florida,15,7,11,0,0,9,0,0
2020-02-19 2020-02-26,Georgia,6,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Hawaii,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Idaho,0,39,0,0,0,0,0,0
2020-02-19 2020-02-26,Illinois,15,4,0,0,0,0,0,0
2020-02-19 2020-02-26,Indiana,11,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Iowa,0,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Kansas,18,22,0,0,0,0,0,0
2020-02-19 2020-02-26,Kentucky,11,14,0,0,0,0,0,0
2020-02-19 2020-02-26,Louisiana,13,31,0,100,0,0,0,0
2020-02-19 2020-02-26,Maine,40,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Maryland,10,16,0,0,0,0,0,0
2020-02-19 2020-02-26,Massachusetts,12,14,0,0,0,0,0,0
2020-02-19 2020-02-26,Michigan,10,0,0,0,0,23,0,0
2020-02-19 2020-02-26,Minnesota,8,0,0,0,0,0,0,0
2020-02-19 2020-02-26,Mississippi,22,0,0,0,0,100,0,0
2020-02-19 2020-02-26,Missouri,8,10,0,0,0,0,0,0
2020-02-19 2020-02-26,Montana,0,67,0,0,0,0,0,0
2020-02-19 2020-02-26,Nebraska,23,0,0,0,0,0,0,0
